微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhTO7rINo,有在网易实习过的朋友吗？加班严重吗？其他方面感觉又如何？（除了伙食这种不去实习也知道的）不同项目组应该不同，就分享一下啦。http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 22:24,Emoticon发布工具,2,1,0
JhTGNtDx7,零基础如何自学舞蹈？哔哩哔哩上的慢速教学视频都跟不上T_Thttp://t.cn/RoePEjW  ,,无,无,无,2020-08-27 22:06,Emoticon发布工具,15,0,13
JhTBWbdas,滴滴，9.11号晚上7:55到潮汕站，求带求带打车约一波回汕大吖留下联系方式，我们约一波http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 21:54,Emoticon发布工具,0,0,2
JhTpL6Lqh,叹尘世妄言绝千恋http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 21:24,Emoticon发布工具,0,0,4
JhTnjAPRL,有没有歌唱爱好者，想认识点小伙伴一起去唱Khttp://t.cn/RoePEjW  ,,无,无,无,2020-08-27 21:18,Emoticon发布工具,3,0,11
JhTg18KTi,如果你准备好了，就来找我吧 我等了太久了http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 21:00,Emoticon发布工具,1,0,1
JhT6gfgUr,拼车！有28号下午五点半左右，潮汕站到卫校的嘛，求带！http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 20:36,Emoticon发布工具,1,0,2
JhT3Qqjun,请问下学校体育馆和图书馆有没有通知什么时候开？不开体育馆那哪里还能打乒乓球？？http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 20:30,Emoticon发布工具,0,0,2
JhSYXloai,大一会开始学法学专业课吗？ 有没有法学考研的学长学姐？想认识一下～http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 20:18,Emoticon发布工具,0,0,3
JhSPdmeaj,看到新宿舍了。但我好纠结床位，有人能告诉我2号床是靠门口还是靠阳台吗？http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 19:54,Emoticon发布工具,2,0,8
JhSD25GUb,有人返校申请审核通过了吗?为什么我的还是待审核状态http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 19:24,Emoticon发布工具,0,0,4
JhSya2MhV,汕大用苹果的同学好多，羡慕有钱的孩子http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 19:12,Emoticon发布工具,23,0,27
JhSjy7miz,最近这两天的洞文让人很受启发，世上总会有比我现在这位胸更大也更懂我的女生，凭什么我就断定我能跟她走到最后呢？......http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 18:36,Emoticon发布工具,9,0,8
JhSh7BfCD,想问一下大家有没有想考公务员的，开学大三开始准备来得及吗，需要注意些什么，谢谢http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 18:30,Emoticon发布工具,1,0,1
JhS2vqszK,想问问敬一修远明德的朋友们，没有冰箱的话，在宿舍煮面饼有什么可以下的吗?尽量耐放而且不易招惹杰瑞和小强，谢谢http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 17:54,Emoticon发布工具,4,0,13
JhRVdzIdr,一点生活琐事的倾述，还有一些错别字http://t.cn/RoePEjW  原图 ,,http://wx1.sinaimg.cn/large/a54e2070ly1gi5i79jittj20u01d7th1.jpg,无,无,2020-08-27 17:36,Emoticon发布工具,3,0,3
JhRSNbyqc,去年，余额宝收益每天0.02，给你们看花呗分期还的利息……http://t.cn/RoePEjW  原图 ,,http://wx1.sinaimg.cn/large/a54e2070ly1gi5i110k9pj20u03pmgwq.jpg,无,无,2020-08-27 17:30,Emoticon发布工具,3,0,3
JhRJ1pVNm,汕大有没有吃鸡群，或者王者群，电竞群，lol群，或者其他游戏群http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 17:06,Emoticon发布工具,2,0,6
JhRBJ2co3,自己专业的学弟一上来就问怎么转专业有点难受http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 16:48,Emoticon发布工具,3,0,9
JhRwR3JjO,弘毅书院床的长宽是多少cm呢？http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 16:36,Emoticon发布工具,0,0,1
JhRkFs4sT,9.11返校还要提交返校申请吗？什么时候提交呢？http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 16:06,Emoticon发布工具,1,0,4
JhRaVv8jE,没那颜值拜托就别学绿茶说话了，容易引起不适http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 15:42,Emoticon发布工具,5,0,7
JhR8uuewY,"失乐园有点shi，伊甸园有点dian,幼儿园有点yuanhttp://t.cn/RoePEjW  ",,无,无,无,2020-08-27 15:36,Emoticon发布工具,0,0,0
JhQTT8f9a,出身不太好的一般有几个共同特征：吃饭吧唧嘴，抖腿，公众场合吃有味食品，不经同意看别人屏幕http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 15:00,Emoticon发布工具,101,1,13
JhQMzw7jt,我妈看新闻，看到有人放生了乌龟，然后又有其他人把这些放生乌龟抓了回来，被警察抓去了，为什么，我也不懂法律。也不知道怎么通俗易懂跟我妈解释，可以帮帮我吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 14:42,Emoticon发布工具,2,0,3
JhQK96RTw,想问问各位女生：两个男生，一个相貌平平，但是是双眼皮，另一个清秀俊丽但是是单眼皮，很单。如果只能二选一当男友的话，你们怎么选？哦对，忘了加一句关键的，这两个男生其他条件都差不多http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 14:36,Emoticon发布工具,15,0,14
JhQFh8pGc,现在女的择偶都要身高170+了，那身高没170+的男生岂不是没希望了.....http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 14:24,Emoticon发布工具,17,0,11
JhQCPvUey,我有个怪癖，比如吧，某个同学的朋友圈已经有十几个认识的人点赞了，我看到本来内容好我也想点赞，可是我又觉得一点赞其他十几个人就知道了，自己觉得很尴尬，还有就是在通讯录差不多一年了，每次发朋友圈我都点赞她，她从不点赞我的那种人，真想删了，聊天也不聊天http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 14:18,Emoticon发布工具,6,0,7
JhQoen6LJ,为啥感觉来新书院的都要买床帘之类的，是觉得好看吗???感觉搭那个也挺麻烦，高楼层的话夏天冬天基本都没啥蚊子，舍友3年都没用过。http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 13:42,Emoticon发布工具,14,0,12
JhQlN6Oh0,延迟返校到底可不可以啊？教务总是不给一个肯定的答复，一直说等通知http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 13:36,Emoticon发布工具,1,0,1
JhQeutqPb,有姐妹 种睫毛 过吗！推荐吗！ 还有纹眉！ 我想着纹眉也就省了化妆的时间了 推荐吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 13:18,Emoticon发布工具,2,0,8
JhPV0pFIs,头大没落http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 12:30,Emoticon发布工具,13,0,10
JhPGnxH3U,去年这个时候买的，但是疫情期间在学校放了八九个月，99新，有小伙伴要吗？100元http://t.cn/RoePEjW  原图 ,,http://wx1.sinaimg.cn/large/a54e2070ly1gi58bcxu6nj20u01t0tkr.jpg,无,无,2020-08-27 11:54,Emoticon发布工具,1,0,1
JhPDWjzWk,有没有人便宜出马克思呀http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 11:48,Emoticon发布工具,1,0,5
JhPwEezoA,吵死了 在宿舍能不能想到跟你住的还有别人啊 平时大声就算了 休息时间能不能别吵 真的很打扰 还有放东西 关门能不能轻一点？？ 你不睡觉别人要睡啊 真的是 最近在宿舍住的怨气冲天 总有人自私的不行 只想到自己 http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 11:30,Emoticon发布工具,23,0,6
JhPucC2fA,我真的好想你，但是我不能对你说http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 11:24,Emoticon发布工具,0,1,1
JhPfAEolq,或许有人推荐宿舍用的床垫吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 10:48,Emoticon发布工具,0,0,11
JhP8j9Ufe,请问回校的同学知道181b有营运吗？是不是181b也不能进学校？http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 10:30,Emoticon发布工具,1,0,1
JhOYxojI5,树洞红有哪些同学http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 10:06,Emoticon发布工具,6,0,18
JhORekxdJ,学校有几个食堂，有食堂的照片吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 09:48,Emoticon发布工具,0,0,4
JhOHu3ObD,学校可以养狗吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 09:24,Emoticon发布工具,16,0,10
JhOCCp5BV,明明两个人互相都有感觉，但一个要准备工作，一个要准备考研，唉http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 09:12,Emoticon发布工具,6,0,5
JhNL3kP4Y,汕头的交通方便吗？出学校坐的出租车坑人吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 07:00,Emoticon发布工具,6,0,7
JhM6KhLL6,希望，你的将来，一切都好http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 02:48,Emoticon发布工具,2,0,0
JhM4jhZdy,宿舍可以贴墙纸吗？http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 02:42,Emoticon发布工具,1,0,4
JhLUzEPh7,大家好，我来问一问11号下午4点36左右到潮汕站的朋友萌，有没有人要拼车车呀，2缺2http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 02:18,Emoticon发布工具,0,0,2
JhLPHBWG1,在公开的地方给不同的女生做对比、分高低，即可获得女王大人的白眼。http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 02:06,Emoticon发布工具,3,0,4
JhLNhyHVK,找个女朋友哈哈哈哈哈哈 稍微好看就行 欢迎评论http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 02:00,Emoticon发布工具,27,0,12
JhLyFioaV,有没有同学是28号中午12.59潮汕站的，需要拼车吗。有需要的评论”有”http://t.cn/RoePEjW  ,,无,无,无,2020-08-27 01:24,Emoticon发布工具,0,0,2
JhIg6tqGR,汕头的女生好像比广州那边的好看http://t.cn/RoePEjW  ,,无,无,无,2020-08-26 17:00,Emoticon发布工具,83,0,43
JhI6lB5es,我最近好烦啊，好想跟你们说，可是又不是一两句就能说的清楚，唉，成年人都这样吗，朋友们有什么觉得烦恼的吗http://t.cn/RoePEjW  ,,无,无,无,2020-08-26 16:36,Emoticon发布工具,3,0,10
JhI1tAnAl,和朋友之间发生了很不开心的事情，哭了…可是不开心的事情谁也不想发生…但是我还是很不开心…心里也不想怪ta…唉，连那个朋友的信息也不想回了，还很讨厌ta...好矛盾，感性和理性的态度不一样… 怎么办http://t.cn/RoePEjW  ,,无,无,无,2020-08-26 16:24,Emoticon发布工具,5,0,4
JhHZ38UKe,大二，想问问同级的你们的存款。http://t.cn/RoePEjW  ,,无,无,无,2020-08-26 16:18,Emoticon发布工具,8,0,24
