微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhSYsjMgF,我理解nmlgb http://t.cn/RBaFzxp  原图 ,,http://wx3.sinaimg.cn/large/006gRmAaly1gi5muhjn02j30ja0ey75c.jpg,无,无,2020-08-27 20:16,Hi聊,117,0,19
JhSS59WFl,无奖竞猜，学校会提前几天发开学通知🐶  http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 20:01,Hi聊,2,0,7
JhSH0sBc3,想知道回去学车的同学都住在哪里？环境怎么样？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 19:33,Hi聊,0,0,1
JhSFXs5xr,竟然还有为学校说话的？精神领导人！ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 19:31,Hi聊,9,0,0
JhSEiiomI,还有三年才毕业，但愿在这三年里不要本升专就好了，毕竟以后工作了靠这玩意儿也没什么卵用 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 19:27,Hi聊,2,0,3
JhSDbfcod,读了那么多年书第一次对母校失望透顶，真的，别来韶关学院，快逃 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 19:24,Hi聊,14,0,1
JhSA3CSIX,考研复习时间都不多了 还整个搬宿舍  四人间换六人间 呕 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 19:16,Hi聊,6,0,1
JhSqAxEUN,20级新生进来刷了一下怕了  http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 18:53,Hi聊,9,0,5
JhSp1Cn51,广财就不封闭管理 羡慕 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 18:49,Hi聊,1,0,1
JhSfo69xO,本升专，兄弟们，985222都是给咱打工的 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 18:25,Hi聊,3,0,3
JhS9z42N0,学费还差个两千，其实我自己有私房钱能勉强凑够，不知道该不该问父亲要，感觉他工作也挺辛苦的。但是我妈又说不问他要的话，他就更加有钱天天晚上去打麻将了，而且他现在又老抽烟。... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 18:11,Hi聊,8,0,6
